imageId,plane_type,image_path,split
119,747,D:\Study\fly\experiments\VLP2_3000\747\119.jpg,train
120,747,D:\Study\fly\experiments\VLP2_3000\747\120.jpg,train
121,747,D:\Study\fly\experiments\VLP2_3000\747\121.jpg,train
122,747,D:\Study\fly\experiments\VLP2_3000\747\122.jpg,train
123,747,D:\Study\fly\experiments\VLP2_3000\747\123.jpg,train
124,747,D:\Study\fly\experiments\VLP2_3000\747\124.jpg,train
125,747,D:\Study\fly\experiments\VLP2_3000\747\125.jpg,train
126,747,D:\Study\fly\experiments\VLP2_3000\747\126.jpg,train
127,747,D:\Study\fly\experiments\VLP2_3000\747\127.jpg,train
128,747,D:\Study\fly\experiments\VLP2_3000\747\128.jpg,train
129,747,D:\Study\fly\experiments\VLP2_3000\747\129.jpg,train
130,747,D:\Study\fly\experiments\VLP2_3000\747\130.jpg,train
747_1,747,D:\Study\fly\experiments\VLP2_3000\747\747_1.jpg,train
747_10,747,D:\Study\fly\experiments\VLP2_3000\747\747_10.jpg,train
747_100,747,D:\Study\fly\experiments\VLP2_3000\747\747_100.jpg,train
747_101,747,D:\Study\fly\experiments\VLP2_3000\747\747_101.jpg,train
747_102,747,D:\Study\fly\experiments\VLP2_3000\747\747_102.jpg,train
747_103,747,D:\Study\fly\experiments\VLP2_3000\747\747_103.jpg,train
747_104,747,D:\Study\fly\experiments\VLP2_3000\747\747_104.jpg,train
747_105,747,D:\Study\fly\experiments\VLP2_3000\747\747_105.jpg,train
747_106,747,D:\Study\fly\experiments\VLP2_3000\747\747_106.jpg,train
747_107,747,D:\Study\fly\experiments\VLP2_3000\747\747_107.jpg,train
747_108,747,D:\Study\fly\experiments\VLP2_3000\747\747_108.jpg,train
747_109,747,D:\Study\fly\experiments\VLP2_3000\747\747_109.jpg,train
747_11,747,D:\Study\fly\experiments\VLP2_3000\747\747_11.jpg,train
747_110,747,D:\Study\fly\experiments\VLP2_3000\747\747_110.jpg,train
747_111,747,D:\Study\fly\experiments\VLP2_3000\747\747_111.jpg,train
747_112,747,D:\Study\fly\experiments\VLP2_3000\747\747_112.jpg,train
747_113,747,D:\Study\fly\experiments\VLP2_3000\747\747_113.jpg,train
747_114,747,D:\Study\fly\experiments\VLP2_3000\747\747_114.jpg,train
747_115,747,D:\Study\fly\experiments\VLP2_3000\747\747_115.jpg,train
747_116,747,D:\Study\fly\experiments\VLP2_3000\747\747_116.jpg,train
747_117,747,D:\Study\fly\experiments\VLP2_3000\747\747_117.jpg,train
747_118,747,D:\Study\fly\experiments\VLP2_3000\747\747_118.jpg,train
747_119,747,D:\Study\fly\experiments\VLP2_3000\747\747_119.jpg,train
747_12,747,D:\Study\fly\experiments\VLP2_3000\747\747_12.jpg,train
747_120,747,D:\Study\fly\experiments\VLP2_3000\747\747_120.jpg,train
747_121,747,D:\Study\fly\experiments\VLP2_3000\747\747_121.jpg,train
747_122,747,D:\Study\fly\experiments\VLP2_3000\747\747_122.jpg,train
747_123,747,D:\Study\fly\experiments\VLP2_3000\747\747_123.jpg,train
747_124,747,D:\Study\fly\experiments\VLP2_3000\747\747_124.jpg,train
747_125,747,D:\Study\fly\experiments\VLP2_3000\747\747_125.jpg,train
747_126,747,D:\Study\fly\experiments\VLP2_3000\747\747_126.jpg,train
747_127,747,D:\Study\fly\experiments\VLP2_3000\747\747_127.jpg,train
747_128,747,D:\Study\fly\experiments\VLP2_3000\747\747_128.jpg,train
747_129,747,D:\Study\fly\experiments\VLP2_3000\747\747_129.jpg,train
747_13,747,D:\Study\fly\experiments\VLP2_3000\747\747_13.jpg,train
747_130,747,D:\Study\fly\experiments\VLP2_3000\747\747_130.jpg,train
747_131,747,D:\Study\fly\experiments\VLP2_3000\747\747_131.jpg,train
747_132,747,D:\Study\fly\experiments\VLP2_3000\747\747_132.jpg,train
747_133,747,D:\Study\fly\experiments\VLP2_3000\747\747_133.jpg,train
747_134,747,D:\Study\fly\experiments\VLP2_3000\747\747_134.jpg,train
747_135,747,D:\Study\fly\experiments\VLP2_3000\747\747_135.jpg,train
747_136,747,D:\Study\fly\experiments\VLP2_3000\747\747_136.jpg,train
747_137,747,D:\Study\fly\experiments\VLP2_3000\747\747_137.jpg,train
747_138,747,D:\Study\fly\experiments\VLP2_3000\747\747_138.jpg,train
747_139,747,D:\Study\fly\experiments\VLP2_3000\747\747_139.jpg,train
747_14,747,D:\Study\fly\experiments\VLP2_3000\747\747_14.jpg,train
747_140,747,D:\Study\fly\experiments\VLP2_3000\747\747_140.jpg,train
747_141,747,D:\Study\fly\experiments\VLP2_3000\747\747_141.jpg,train
747_142,747,D:\Study\fly\experiments\VLP2_3000\747\747_142.jpg,train
747_143,747,D:\Study\fly\experiments\VLP2_3000\747\747_143.jpg,train
747_144,747,D:\Study\fly\experiments\VLP2_3000\747\747_144.jpg,train
747_145,747,D:\Study\fly\experiments\VLP2_3000\747\747_145.jpg,train
747_146,747,D:\Study\fly\experiments\VLP2_3000\747\747_146.jpg,train
747_147,747,D:\Study\fly\experiments\VLP2_3000\747\747_147.jpg,train
747_148,747,D:\Study\fly\experiments\VLP2_3000\747\747_148.jpg,train
747_149,747,D:\Study\fly\experiments\VLP2_3000\747\747_149.jpg,train
747_15,747,D:\Study\fly\experiments\VLP2_3000\747\747_15.jpg,train
747_150,747,D:\Study\fly\experiments\VLP2_3000\747\747_150.jpg,train
747_151,747,D:\Study\fly\experiments\VLP2_3000\747\747_151.jpg,train
747_152,747,D:\Study\fly\experiments\VLP2_3000\747\747_152.jpg,train
747_153,747,D:\Study\fly\experiments\VLP2_3000\747\747_153.jpg,train
747_154,747,D:\Study\fly\experiments\VLP2_3000\747\747_154.jpg,train
747_155,747,D:\Study\fly\experiments\VLP2_3000\747\747_155.jpg,train
747_156,747,D:\Study\fly\experiments\VLP2_3000\747\747_156.jpg,train
747_157,747,D:\Study\fly\experiments\VLP2_3000\747\747_157.jpg,train
747_158,747,D:\Study\fly\experiments\VLP2_3000\747\747_158.jpg,train
747_16,747,D:\Study\fly\experiments\VLP2_3000\747\747_16.jpg,train
747_160,747,D:\Study\fly\experiments\VLP2_3000\747\747_160.jpg,train
747_161,747,D:\Study\fly\experiments\VLP2_3000\747\747_161.jpg,train
747_162,747,D:\Study\fly\experiments\VLP2_3000\747\747_162.jpg,train
747_163,747,D:\Study\fly\experiments\VLP2_3000\747\747_163.jpg,train
747_164,747,D:\Study\fly\experiments\VLP2_3000\747\747_164.jpg,train
747_165,747,D:\Study\fly\experiments\VLP2_3000\747\747_165.jpg,train
747_166,747,D:\Study\fly\experiments\VLP2_3000\747\747_166.jpg,train
747_167,747,D:\Study\fly\experiments\VLP2_3000\747\747_167.jpg,train
747_168,747,D:\Study\fly\experiments\VLP2_3000\747\747_168.jpg,train
747_169,747,D:\Study\fly\experiments\VLP2_3000\747\747_169.jpg,train
747_17,747,D:\Study\fly\experiments\VLP2_3000\747\747_17.jpg,train
747_170,747,D:\Study\fly\experiments\VLP2_3000\747\747_170.jpg,train
747_171,747,D:\Study\fly\experiments\VLP2_3000\747\747_171.jpg,train
747_172,747,D:\Study\fly\experiments\VLP2_3000\747\747_172.jpg,train
747_173,747,D:\Study\fly\experiments\VLP2_3000\747\747_173.jpg,train
747_174,747,D:\Study\fly\experiments\VLP2_3000\747\747_174.jpg,train
747_175,747,D:\Study\fly\experiments\VLP2_3000\747\747_175.jpg,train
747_177,747,D:\Study\fly\experiments\VLP2_3000\747\747_177.jpg,train
747_178,747,D:\Study\fly\experiments\VLP2_3000\747\747_178.jpg,train
747_179,747,D:\Study\fly\experiments\VLP2_3000\747\747_179.jpg,train
747_18,747,D:\Study\fly\experiments\VLP2_3000\747\747_18.jpg,train
747_180,747,D:\Study\fly\experiments\VLP2_3000\747\747_180.jpg,train
747_181,747,D:\Study\fly\experiments\VLP2_3000\747\747_181.jpg,train
747_182,747,D:\Study\fly\experiments\VLP2_3000\747\747_182.jpg,train
747_183,747,D:\Study\fly\experiments\VLP2_3000\747\747_183.jpg,train
747_184,747,D:\Study\fly\experiments\VLP2_3000\747\747_184.jpg,train
747_185,747,D:\Study\fly\experiments\VLP2_3000\747\747_185.jpg,train
747_186,747,D:\Study\fly\experiments\VLP2_3000\747\747_186.jpg,train
747_187,747,D:\Study\fly\experiments\VLP2_3000\747\747_187.jpg,train
747_188,747,D:\Study\fly\experiments\VLP2_3000\747\747_188.jpg,train
747_189,747,D:\Study\fly\experiments\VLP2_3000\747\747_189.jpg,train
747_19,747,D:\Study\fly\experiments\VLP2_3000\747\747_19.jpg,train
747_190,747,D:\Study\fly\experiments\VLP2_3000\747\747_190.jpg,train
747_191,747,D:\Study\fly\experiments\VLP2_3000\747\747_191.jpg,train
747_192,747,D:\Study\fly\experiments\VLP2_3000\747\747_192.jpg,train
747_193,747,D:\Study\fly\experiments\VLP2_3000\747\747_193.jpg,train
747_194,747,D:\Study\fly\experiments\VLP2_3000\747\747_194.jpg,train
747_195,747,D:\Study\fly\experiments\VLP2_3000\747\747_195.jpg,train
747_196,747,D:\Study\fly\experiments\VLP2_3000\747\747_196.jpg,train
747_197,747,D:\Study\fly\experiments\VLP2_3000\747\747_197.jpg,train
747_198,747,D:\Study\fly\experiments\VLP2_3000\747\747_198.jpg,train
747_199,747,D:\Study\fly\experiments\VLP2_3000\747\747_199.jpg,train
747_2,747,D:\Study\fly\experiments\VLP2_3000\747\747_2.jpg,train
747_20,747,D:\Study\fly\experiments\VLP2_3000\747\747_20.jpg,train
747_200,747,D:\Study\fly\experiments\VLP2_3000\747\747_200.jpg,train
747_201,747,D:\Study\fly\experiments\VLP2_3000\747\747_201.jpg,train
747_202,747,D:\Study\fly\experiments\VLP2_3000\747\747_202.jpg,train
747_203,747,D:\Study\fly\experiments\VLP2_3000\747\747_203.jpg,train
747_204,747,D:\Study\fly\experiments\VLP2_3000\747\747_204.jpg,train
747_205,747,D:\Study\fly\experiments\VLP2_3000\747\747_205.jpg,train
747_206,747,D:\Study\fly\experiments\VLP2_3000\747\747_206.jpg,train
747_207,747,D:\Study\fly\experiments\VLP2_3000\747\747_207.jpg,train
747_208,747,D:\Study\fly\experiments\VLP2_3000\747\747_208.jpg,train
747_209,747,D:\Study\fly\experiments\VLP2_3000\747\747_209.jpg,train
747_21,747,D:\Study\fly\experiments\VLP2_3000\747\747_21.jpg,train
747_210,747,D:\Study\fly\experiments\VLP2_3000\747\747_210.jpg,train
747_211,747,D:\Study\fly\experiments\VLP2_3000\747\747_211.jpg,train
747_212,747,D:\Study\fly\experiments\VLP2_3000\747\747_212.jpg,train
747_213,747,D:\Study\fly\experiments\VLP2_3000\747\747_213.jpg,train
747_214,747,D:\Study\fly\experiments\VLP2_3000\747\747_214.jpg,train
747_215,747,D:\Study\fly\experiments\VLP2_3000\747\747_215.jpg,train
747_216,747,D:\Study\fly\experiments\VLP2_3000\747\747_216.jpg,train
747_217,747,D:\Study\fly\experiments\VLP2_3000\747\747_217.jpg,train
